"Term:English","Description:English"
"Archie","A search tool for finding files and programs located on FTP servers. The Archie system is comprised of a number of Archie servers located across the United States and the world. Each Archie server indexes the files available on FTP servers in its area. The Archie servers share their indexes with each other; thus, the complete index is accessible from any of the servers. Archie servers can be accessed via a Telnet, e- mail or an Archie program."
"ARPAnet","The predecessor to the Internet. Developed by the U.S. Defense Department's Advanced Research Projects Agency in the late 1960s, ARPAnet was an experimental network that initially linked scientists engaged in defense research. ARPAnet was intended to link together different computers in dispersed geographical locations. The network was designed to survive breakdowns along any of its connections by sending information as packets. If a connection broke down, the packets could be automatically re-routed."
"ASCII","ASCII (pronounced AS-key): American Standard Code for Information Exchange. Although now widely used to denote plain text - that is, text without formatting and independent of any type font - ASCII is actually a data code now used universally in communication applications by minicomputers and personal computers to represent 128 possible character combinations, including upper- and lower-case letters of the roman alphabet, the space character, the numerals 0 through 9, punctuation marks and other non-alphanumeric characters found on a standard keyboard, plus several \"control codes\" that denote invisible characters like the carriage return and tab. ASCII is also sometimes known as TTY, denoting its legacy in the teletype industry."
"ASCII value","The number, variously expressed in decimal, octal or hexadecimal notation, that defines a combination of eight bits -- seven bits that define a character and an eighth that can be used for a rudimentary form of error correction known as \"parity checking.\""
"ASCII table","A table that lists the ASCII value for any character, in decimal, octal or hexadecimal notation, sometimes in all three."
"avatar","avatar (pronounced AV-uh-tar): A word adopted by computer users to denote the digital manifestation that humans take on when entering virtual worlds. The word is Sanskrit for the earthly incarnation a god takes on Earth. Vishnu, the Hindu god responsible for maintaining the existence of the universe, has 10 important avatars, including Krishna, the philosopher king, and Varaha, the boar who rescues the planet after it is inundated by the oceans. The 10th avatar of Vishnu, Kalki, will arrive in the future to destroy the world with fire and begin a new age of purity on the planet."
"AVI","A video compression standard developed for use with Microsoft Windows. Video clips on the World Wide Web are usually available in both AVI and QuickTime formats."
"bandwidth","The amount of information that can be transmitted over a network connection. Data travel over bandwidth in bits-per-second. A full page of English text is about 16,000 bits. A fast modem can move about 28,800 bits per second."
"baud","(pronounced BAWD) A unit commonly used to describe the speed of modems. The baud rate technically is the number of times a modem signal changes per second. In the old days of 300 baud modems, each signal change represented one bit of information. Therefore, the baud and transfer rates of a modem - measured in bits per second, or bps - were the same. Modern modems transfer up to 12 bits of information for every signal change. A 28.8 modem is actually is working at 2400 baud, but each signal change carries 12 bits of information. Therefore the data transfer rate is 28,800 bits per second. Over the years, baud and bits per second have been used interchangeably, although that is technically wrong."
"BBS","Bulletin Board System. A dial-up computer service which allows users to post messages and files. BBSs often serve specific interests or geographical areas. Some BBSs are connected and provide access to the Internet."
"bit","An abbreviation for \"binary digit.\" Usually represented as either a 0 or a 1 -- connoting off and on, respectively -- bits are the basic language of computers. A group of eight bits forms a byte."
"BITNET","Because It's Time or Because It's There NETwork. An international computer network devoted to research and education. BITNET is connected to the Internet and e-mail is freely exchanged between the systems."
"Boolean","A query strategy for searching databases. Boolean searches use connectors such as \"and\" or \"or\" to expand or narrow a search. For example, to retrieve information about cats and dogs, searchers type in the word \"and\" to insure they receive information about both groups."
"bot","Short for \"robot.\" Describes programs, usually run on a server, that automate tasks like forwarding or sorting e-mail."
"browser","Software that looks at various types of Internet resources. Browsers can search for documents and obtain them from other sources."
"bps","Bits Per Second. See baud."
"BTW","By The Way. An acronym frequently used in e-mail messages."
"byte","(pronounced BITE) A group of eight bits."
"CERN","CERN:(pronounced SURN) The Web was created in 1991 at CERN, a particle physics laboratory in Geneva, Switzerland."
"com","A domain name suffix denoting commercial entities such as corporations."
"Cyberspace","The whole universe of information that's available from computer networks."
"Digerati","A digital play on the word \"literati,\" digerati refers to people who consider themselves the hip, knowledgeable elite at the vanguard of the digital revolution."
"daemon","A program that runs without human intervention. A daemon (pronounced DEE-man) waits silently, springing into action when some condition occurs (for example, when a file lands in a particular directory, or when a Web request is made through a particular communication line). Most server software runs as a daemon, so you'll see references to a Web server as an \"HTTPD\" program, for Hypertext Transfer Protocol Daemon."
"edu","A domain name suffix denoting educational institutions."
"e-mail","Electronic mail. Messages sent from one person to another via computer networks."
"emoticon","(pronounced ee-MOE-ti-con) Shortened form of \"emotion icons.\" Sideways \"smiley-face\" symbols created with ASCII characters to express emotions and physical characteristics. Emoticons, also known as a smilies, are often used in e-mail messages and newsgroup postings."
"ethernet","A common way of networking computers in a local area network or LAN (such as the same building or floor)."
"finger","A software tool for finding people on the Internet."
"flame","An online insult usually delivered by way of e-mail or a newsgroup posting. Flame exchanges often develop into long-running flame wars, which can then degenerate in holy wars."
